name,sex,frequency,year
Katie,F,703,1970
Bethany,F,702,1970
Chandra,F,695,1970
Ruby,F,695,1970
Elisa,F,686,1970
Daphne,F,684,1970
Darcy,F,682,1970
Leanne,F,682,1970
Marianne,F,677,1970
Josephine,F,676,1970
Brandi,F,675,1970
Nora,F,675,1970
Sue,F,665,1970
Lynne,F,662,1970
Nikki,F,658,1970
Miriam,F,655,1970
Iris,F,644,1970
Marci,F,644,1970
Annmarie,F,642,1970
Serena,F,639,1970
Cathleen,F,636,1970
Marjorie,F,635,1970
Mona,F,632,1970
Pauline,F,632,1970
Bridgette,F,631,1970
Alexandra,F,626,1970
Lucinda,F,624,1970
Laurel,F,622,1970
Cecilia,F,620,1970
Ericka,F,613,1970
Brandy,F,611,1970
Jeannine,F,609,1970
Janelle,F,607,1970
Francine,F,604,1970
Anissa,F,603,1970
Jennie,F,601,1970
Edith,F,600,1970
Nadine,F,599,1970
Deanne,F,598,1970
Celeste,F,594,1970
Patty,F,594,1970
Tasha,F,594,1970
Deena,F,593,1970
Lea,F,593,1970
Marlo,F,593,1970
Angelica,F,589,1970
Tabatha,F,585,1970
Sophia,F,581,1970
Leann,F,580,1970
Kimberlee,F,576,1970
Cristina,F,569,1970
June,F,565,1970
Dolores,F,564,1970
Susanne,F,559,1970
Lorrie,F,558,1970
Naomi,F,556,1970
Melisa,F,555,1970
Jami,F,550,1970
Faith,F,549,1970
Rene,F,548,1970
Ladonna,F,546,1970
Louise,F,541,1970
Patti,F,539,1970
Gayle,F,535,1970
Dora,F,534,1970
Alma,F,533,1970
Angelina,F,530,1970
Emma,F,527,1970
Tamra,F,524,1970
Deirdre,F,523,1970
Ingrid,F,523,1970
Geraldine,F,517,1970
Lois,F,517,1970
Lorena,F,517,1970
Marcie,F,513,1970
Marcella,F,511,1970
Tania,F,511,1970
Shonda,F,510,1970
Maryann,F,508,1970
Georgia,F,507,1970
Lena,F,507,1970
Deidre,F,506,1970
Elena,F,506,1970
Lucy,F,504,1970
Sondra,F,501,1970
Michael,M,85315,1970
James,M,61774,1970
David,M,61760,1970
John,M,58535,1970
Robert,M,57205,1970
Christopher,M,41790,1970
William,M,38910,1970
Brian,M,31938,1970
Mark,M,31500,1970
Richard,M,30463,1970
Jeffrey,M,30158,1970
Scott,M,28597,1970
Jason,M,27295,1970
Kevin,M,26987,1970
Steven,M,26824,1970
Joseph,M,26731,1970
Thomas,M,26683,1970
Eric,M,23583,1970
Daniel,M,23535,1970
Timothy,M,22439,1970
Charles,M,22432,1970
Anthony,M,21187,1970
Paul,M,20212,1970
Matthew,M,20201,1970
Kenneth,M,16818,1970
Gregory,M,16293,1970
Stephen,M,14775,1970
Todd,M,14433,1970
Ronald,M,13616,1970
Donald,M,12404,1970
Edward,M,12302,1970
Andrew,M,12000,1970
Patrick,M,11746,1970
Shawn,M,10949,1970
Gary,M,10728,1970
Douglas,M,10420,1970
Sean,M,10359,1970
Keith,M,9613,1970
Craig,M,9379,1970
George,M,8920,1970
Troy,M,8446,1970
Jonathan,M,8204,1970
Larry,M,8113,1970
Peter,M,8054,1970
Jerry,M,7424,1970
Dennis,M,7320,1970
Bradley,M,6824,1970
Frank,M,6805,1970
Raymond,M,6795,1970
Jeffery,M,6706,1970
Chad,M,6640,1970
Aaron,M,6585,1970
Bryan,M,6458,1970
Terry,M,6190,1970
Rodney,M,5862,1970
Jose,M,5698,1970
Tony,M,5484,1970
Russell,M,5117,1970
Randy,M,5040,1970
Marc,M,5013,1970
Roger,M,4585,1970
Samuel,M,4563,1970
Chris,M,4466,1970
Shane,M,4452,1970
Johnny,M,4441,1970
Gerald,M,4401,1970
Carl,M,4398,1970
Jon,M,4376,1970
Travis,M,4329,1970
Jeremy,M,4322,1970
Adam,M,4320,1970
Marcus,M,4318,1970
Phillip,M,4281,1970
Brent,M,4272,1970
Darren,M,4196,1970
Lance,M,4166,1970
Derek,M,4148,1970
Billy,M,4124,1970
Vincent,M,4032,1970
Wayne,M,4007,1970
Benjamin,M,3931,1970
Joel,M,3842,1970
Lawrence,M,3823,1970
Corey,M,3815,1970
Danny,M,3764,1970
Jimmy,M,3656,1970
Bobby,M,3635,1970
Curtis,M,3615,1970
Walter,M,3588,1970
Joe,M,3571,1970
Alan,M,3560,1970
Philip,M,3517,1970
Martin,M,3509,1970
Bruce,M,3488,1970
Juan,M,3475,1970
Derrick,M,3447,1970
Jay,M,3422,1970
Carlos,M,3383,1970
Brett,M,3374,1970
Randall,M,3270,1970
Erik,M,3246,1970
Darrell,M,3149,1970
Willie,M,3139,1970
Henry,M,3130,1970
Ricky,M,3089,1970
Victor,M,3086,1970
Albert,M,3073,1970
Roy,M,3039,1970
Glenn,M,3009,1970
Dale,M,3002,1970
Arthur,M,2983,1970
Dean,M,2942,1970
Allen,M,2934,1970
Steve,M,2934,1970
Frederick,M,2891,1970
Jeff,M,2882,1970
Barry,M,2800,1970
Lee,M,2796,1970
Jesse,M,2771,1970
Kyle,M,2765,1970
Antonio,M,2743,1970
Harold,M,2728,1970
Nicholas,M,2702,1970
Louis,M,2646,1970
Jamie,M,2641,1970
Micheal,M,2634,1970
Christian,M,2628,1970
Jack,M,2575,1970
Shannon,M,2573,1970
Brandon,M,2550,1970
Nathan,M,2550,1970
Tyrone,M,2531,1970
Ronnie,M,2514,1970
Andre,M,2509,1970
Kelly,M,2498,1970
Alexander,M,2475,1970
Mike,M,2468,1970
Justin,M,2382,1970
Ryan,M,2333,1970
Brad,M,2327,1970
Dwayne,M,2315,1970
Ernest,M,2307,1970
Reginald,M,2307,1970
Leonard,M,2296,1970
Luis,M,2285,1970
Eugene,M,2266,1970
Ralph,M,2248,1970
Tommy,M,2223,1970
Kurt,M,2197,1970
Joshua,M,2176,1970
Eddie,M,2153,1970
Wesley,M,2063,1970
Marvin,M,2034,1970
Greg,M,2007,1970
Glen,M,2000,1970
Howard,M,1996,1970
Stanley,M,1952,1970
Kirk,M,1918,1970
Mario,M,1902,1970
Theodore,M,1829,1970
Daryl,M,1795,1970
Tracy,M,1774,1970
Duane,M,1773,1970
Cory,M,1764,1970
Maurice,M,1742,1970
Calvin,M,1734,1970
Edwin,M,1726,1970
Jerome,M,1724,1970
Harry,M,1698,1970
Manuel,M,1695,1970
Melvin,M,1679,1970
Ricardo,M,1651,1970
Earl,M,1629,1970
Damon,M,1622,1970
Clinton,M,1596,1970
Clifford,M,1581,1970
Karl,M,1577,1970
Neil,M,1569,1970
Mitchell,M,1543,1970
Darrin,M,1527,1970
Norman,M,1524,1970
Warren,M,1506,1970
Fred,M,1505,1970
Jody,M,1501,1970
Jesus,M,1485,1970
Terrence,M,1464,1970
Ray,M,1461,1970
Darin,M,1442,1970
Wade,M,1423,1970
Alfred,M,1414,1970
Alex,M,1404,1970
Francis,M,1390,1970
Clarence,M,1384,1970
Lonnie,M,1383,1970
Darryl,M,1367,1970
Roberto,M,1365,1970
Miguel,M,1346,1970
Tim,M,1327,1970
Ruben,M,1326,1970
Adrian,M,1296,1970
Geoffrey,M,1288,1970
Dustin,M,1285,1970
Don,M,1279,1970
Jim,M,1258,1970
Gabriel,M,1245,1970
Byron,M,1233,1970
Leon,M,1222,1970
Franklin,M,1221,1970
Francisco,M,1219,1970
Bernard,M,1190,1970
Rick,M,1186,1970
Stacy,M,1183,1970
Terrance,M,1180,1970
Gilbert,M,1170,1970
Leroy,M,1168,1970
Kent,M,1153,1970
Joey,M,1139,1970
Nathaniel,M,1135,1970
Tom,M,1128,1970
Hector,M,1127,1970
Jorge,M,1124,1970
Ian,M,1120,1970
Vernon,M,1088,1970
Alvin,M,1087,1970
Oscar,M,1046,1970
Roderick,M,1040,1970
Dana,M,1038,1970
Raul,M,1037,1970
Angel,M,1036,1970
Herbert,M,1035,1970
Dwight,M,1025,1970
Dan,M,1022,1970
Bill,M,1021,1970
Leslie,M,1013,1970
Guy,M,1010,1970
Lewis,M,1001,1970
Ramon,M,993,1970
Gordon,M,992,1970
Lloyd,M,992,1970
Shaun,M,989,1970
Trevor,M,987,1970
Toby,M,983,1970
Kerry,M,967,1970
Andy,M,954,1970
Rafael,M,946,1970
Ted,M,945,1970
Gregg,M,942,1970
Fredrick,M,941,1970
Jaime,M,935,1970
Gene,M,934,1970
Marty,M,919,1970
Jacob,M,918,1970
Donnie,M,915,1970
Javier,M,913,1970
Kelvin,M,912,1970
Casey,M,897,1970
Pedro,M,886,1970
Ross,M,881,1970
Cedric,M,879,1970
Bret,M,871,1970
Rene,M,869,1970
Trent,M,865,1970
Perry,M,845,1970
Clayton,M,834,1970
Mathew,M,829,1970
Jimmie,M,819,1970
Allan,M,806,1970
Clint,M,805,1970
Seth,M,793,1970
Grant,M,784,1970
Ron,M,784,1970
Bryant,M,782,1970
Charlie,M,770,1970
Stuart,M,768,1970
Fernando,M,766,1970
Johnnie,M,765,1970
Eduardo,M,757,1970
Heath,M,756,1970
Nelson,M,755,1970
Floyd,M,754,1970
Jackie,M,753,1970
Marshall,M,752,1970
Tyler,M,751,1970
Jared,M,748,1970
Matt,M,739,1970
Roland,M,738,1970
Armando,M,731,1970
Jessie,M,729,1970
Orlando,M,724,1970
Spencer,M,720,1970
Neal,M,718,1970
Alberto,M,717,1970
Marco,M,708,1970
Leo,M,703,1970
Dexter,M,697,1970
Stacey,M,689,1970
Lester,M,681,1970
Ivan,M,678,1970
Noel,M,676,1970
Clifton,M,672,1970
Robbie,M,672,1970
Kenny,M,669,1970
Nick,M,666,1970
Edgar,M,665,1970
Freddie,M,660,1970
Timmy,M,646,1970
Julio,M,643,1970
Felix,M,639,1970
Julian,M,637,1970
Dominic,M,633,1970
Scot,M,633,1970
Milton,M,632,1970
Erick,M,627,1970
Colin,M,622,1970
Clyde,M,621,1970
Ben,M,620,1970
Herman,M,616,1970
Bradford,M,614,1970
Robin,M,612,1970
Garrett,M,601,1970
Sam,M,600,1970
Frankie,M,598,1970
Evan,M,596,1970
Terence,M,594,1970
Angelo,M,591,1970
Alejandro,M,588,1970
Carlton,M,584,1970
Enrique,M,584,1970
Alfredo,M,575,1970
Scotty,M,574,1970
Randolph,M,571,1970
Cary,M,570,1970
Arnold,M,569,1970
Isaac,M,569,1970
Arturo,M,568,1970
Brendan,M,568,1970
Cecil,M,566,1970
Loren,M,564,1970
Lorenzo,M,562,1970
Randal,M,559,1970
Rickey,M,559,1970
Zachary,M,559,1970
Dewayne,M,555,1970
Dion,M,555,1970
Omar,M,552,1970
Gerard,M,546,1970
Harvey,M,543,1970
Luke,M,539,1970
Malcolm,M,538,1970
Sergio,M,538,1970
Wendell,M,537,1970
Lamont,M,534,1970
Blake,M,526,1970
Jonathon,M,525,1970
Preston,M,523,1970
Brady,M,522,1970
Devin,M,522,1970
Dave,M,521,1970
Chester,M,515,1970
Salvatore,M,514,1970
Sidney,M,514,1970
Rex,M,507,1970
Cameron,M,505,1970
Johnathan,M,502,1970
Donovan,M,501,1970
Jennifer,F,56783,1971
Michelle,F,33158,1971
Lisa,F,32906,1971
Kimberly,F,30698,1971
Amy,F,26238,1971
Angela,F,25890,1971
Melissa,F,23872,1971
Tammy,F,17658,1971
Mary,F,16697,1971
Julie,F,15328,1971
Stephanie,F,15142,1971
Heather,F,15019,1971
Tracy,F,14327,1971
Dawn,F,14280,1971
Karen,F,14212,1971
Laura,F,13871,1971
Susan,F,13781,1971
Christine,F,13677,1971
Elizabeth,F,13604,1971
Tina,F,13265,1971
Shannon,F,12651,1971
Kelly,F,12598,1971
Rebecca,F,12195,1971
Cynthia,F,12144,1971
Lori,F,11837,1971
Patricia,F,11467,1971
Nicole,F,10430,1971
Pamela,F,10142,1971
Wendy,F,10062,1971
Christina,F,9914,1971
Sandra,F,9711,1971
Stacy,F,9114,1971
Deborah,F,8675,1971
Teresa,F,8564,1971
Andrea,F,8477,1971
Denise,F,8217,1971
Maria,F,8112,1971
Donna,F,8010,1971
Michele,F,7955,1971
Sharon,F,7523,1971
Stacey,F,7484,1971
Linda,F,7377,1971
Brenda,F,7162,1971
Dana,F,6932,1971
Tonya,F,6899,1971
Rhonda,F,6649,1971
Barbara,F,6456,1971
Monica,F,6427,1971
Tara,F,6332,1971
Cheryl,F,6330,1971
Robin,F,6215,1971
Nancy,F,6213,1971
Kathleen,F,6155,1971
Rachel,F,6123,1971
Carrie,F,5976,1971
April,F,5939,1971
Debra,F,5930,1971
Sarah,F,5850,1971
Jill,F,5725,1971
Sherry,F,5561,1971
Theresa,F,5448,1971
Tiffany,F,5415,1971
Paula,F,5383,1971
Jessica,F,5359,1971
Catherine,F,5334,1971
Melanie,F,5141,1971
Katherine,F,5120,1971
Leslie,F,5111,1971
Gina,F,4923,1971
Cindy,F,4905,1971
Kristin,F,4860,1971
Tanya,F,4853,1971
Renee,F,4831,1971
Tracey,F,4789,1971
Jacqueline,F,4786,1971
Holly,F,4747,1971
Heidi,F,4716,1971
Ann,F,4558,1971
Crystal,F,4536,1971
Tamara,F,4485,1971
Sheila,F,4331,1971
Diana,F,4213,1971
Diane,F,4205,1971
Amanda,F,4132,1971
Melinda,F,4057,1971
Margaret,F,4001,1971
Kristen,F,3966,1971
Suzanne,F,3932,1971
Christy,F,3930,1971
Regina,F,3873,1971
Kathy,F,3863,1971
Erin,F,3859,1971
Carol,F,3857,1971
Jodi,F,3825,1971
Deanna,F,3792,1971
Laurie,F,3752,1971
Victoria,F,3723,1971
Yolanda,F,3723,1971
Danielle,F,3718,1971
Beth,F,3685,1971
Kim,F,3682,1971
Valerie,F,3680,1971
Shelly,F,3638,1971
Carolyn,F,3608,1971
Alicia,F,3592,1971
Anna,F,3576,1971
Carla,F,3559,1971
Erica,F,3491,1971
Tricia,F,3470,1971
Veronica,F,3427,1971
Kathryn,F,3419,1971
Janet,F,3396,1971
Kristi,F,3270,1971
Sara,F,3205,1971
Terri,F,3169,1971
Traci,F,3119,1971
Kristina,F,3056,1971
Jamie,F,3054,1971
Allison,F,3020,1971
Kristine,F,2962,1971
Colleen,F,2950,1971
Anne,F,2919,1971
Sherri,F,2861,1971
Felicia,F,2810,1971
Connie,F,2751,1971
Sonya,F,2730,1971
Anita,F,2681,1971
Lynn,F,2673,1971
Vanessa,F,2657,1971
Julia,F,2604,1971
Stacie,F,2554,1971
Annette,F,2467,1971
Sabrina,F,2417,1971
Krista,F,2412,1971
Kelli,F,2381,1971
Cassandra,F,2378,1971
Wanda,F,2367,1971
Bonnie,F,2330,1971
Katrina,F,2298,1971
Shelley,F,2272,1971
Cathy,F,2270,1971
Jenny,F,2238,1971
Alison,F,2211,1971
Samantha,F,2211,1971
Kerry,F,2207,1971
Erika,F,2198,1971
Martha,F,2188,1971
Yvonne,F,2188,1971
Tracie,F,2172,1971
Virginia,F,2147,1971
Janice,F,2144,1971
Sheri,F,2144,1971
Carmen,F,2138,1971
Natalie,F,2093,1971
Debbie,F,2062,1971
Vicki,F,2009,1971
Marie,F,2007,1971
Penny,F,2000,1971
Toni,F,1995,1971
Beverly,F,1987,1971
Monique,F,1948,1971
Jody,F,1937,1971
Becky,F,1930,1971
Belinda,F,1886,1971
Emily,F,1869,1971
Kristie,F,1867,1971
Gloria,F,1866,1971
Shawn,F,1863,1971
Darlene,F,1824,1971
Joy,F,1824,1971
Kristy,F,1822,1971
Trina,F,1815,1971
Jean,F,1776,1971
Yvette,F,1769,1971
Betty,F,1763,1971
Charlotte,F,1744,1971
Charlene,F,1733,1971
Aimee,F,1732,1971
Kari,F,1731,1971
Amber,F,1721,1971
Bridget,F,1714,1971
Sonia,F,1693,1971
Joyce,F,1692,1971
Peggy,F,1690,1971
Leah,F,1689,1971
Jeanette,F,1677,1971
Ginger,F,1670,1971
Joanne,F,1652,1971
Tammie,F,1651,1971
Ruth,F,1628,1971
Dorothy,F,1625,1971
Kimberley,F,1609,1971
Shirley,F,1586,1971
Sylvia,F,1578,1971
Kerri,F,1575,1971
Judy,F,1522,1971
Alice,F,1507,1971
Meredith,F,1507,1971
Megan,F,1500,1971
Misty,F,1493,1971
Angel,F,1489,1971
Kendra,F,1482,1971
Maureen,F,1471,1971
Kara,F,1470,1971
Hope,F,1455,1971
Judith,F,1454,1971
Tami,F,1454,1971
Frances,F,1452,1971
Helen,F,1441,1971
Rose,F,1429,1971
Kellie,F,1426,1971
Tonia,F,1425,1971
Leigh,F,1423,1971
Shawna,F,1422,1971
Karla,F,1419,1971
Rita,F,1419,1971
Robyn,F,1416,1971
Ellen,F,1394,1971
Christie,F,1383,1971
Joann,F,1381,1971
Joanna,F,1371,1971
Rosa,F,1371,1971
Norma,F,1363,1971
Gretchen,F,1347,1971
Vickie,F,1332,1971
Candace,F,1310,1971
Marsha,F,1305,1971
Jane,F,1304,1971
Natasha,F,1303,1971
Loretta,F,1301,1971
Juanita,F,1299,1971
Evelyn,F,1298,1971
Kelley,F,1288,1971
Elaine,F,1284,1971
Jeanne,F,1270,1971
Angie,F,1264,1971
Christa,F,1250,1971
Claudia,F,1250,1971
Jackie,F,1216,1971
Marilyn,F,1215,1971
Caroline,F,1211,1971
Bobbie,F,1205,1971
Marcia,F,1204,1971
Melody,F,1203,1971
Raquel,F,1195,1971
Sheryl,F,1192,1971
Sonja,F,1188,1971
Molly,F,1186,1971
Gail,F,1184,1971
Staci,F,1179,1971
Ronda,F,1177,1971
Dena,F,1171,1971
Roberta,F,1168,1971
Dina,F,1165,1971
Ashley,F,1164,1971
Marcy,F,1155,1971
Rochelle,F,1154,1971
Latonya,F,1141,1971
Audrey,F,1131,1971
Candice,F,1130,1971
Lauren,F,1122,1971
Billie,F,1114,1971
Nichole,F,1114,1971
Teri,F,1110,1971
Cheri,F,1083,1971
Gwendolyn,F,1081,1971
Sandy,F,1081,1971
Lynette,F,1079,1971
Lora,F,1068,1971
Ana,F,1066,1971
Sally,F,1062,1971
Alisa,F,1061,1971
Lara,F,1053,1971
Leticia,F,1052,1971
Jodie,F,1038,1971
Shelia,F,1038,1971
Roxanne,F,1037,1971
Eileen,F,1036,1971
Keri,F,1036,1971
Joan,F,1022,1971
Deana,F,1016,1971
Tasha,F,1015,1971
Shari,F,1014,1971
Mindy,F,1010,1971
Rachelle,F,997,1971
Terry,F,986,1971
Adrienne,F,984,1971
Lorraine,F,977,1971
Eva,F,970,1971
Irene,F,970,1971
Antoinette,F,967,1971
Jana,F,964,1971
Marla,F,956,1971
Angelia,F,954,1971
Tabitha,F,947,1971
Kirsten,F,936,1971
Trisha,F,929,1971
Stefanie,F,923,1971
Audra,F,911,1971
Ericka,F,911,1971
Jo,F,911,1971
Dianna,F,910,1971
Christi,F,909,1971
Priscilla,F,905,1971
Darla,F,895,1971
Nikki,F,877,1971
Lee,F,875,1971
Karin,F,873,1971
Patrice,F,873,1971
Cherie,F,870,1971
Tisha,F,867,1971
Rachael,F,850,1971
Lesley,F,848,1971
Bobbi,F,845,1971
Lydia,F,845,1971
Nina,F,839,1971
Wendi,F,839,1971
Candy,F,835,1971
