County FIPS	County Name	Industry	Industry Title	Year	Average Employment	Total Wages	Average Weekly Wages	Average Annual Wages	
000	Statewide Total	03	Construction	1975	211430	2953974623	268.68	13971	
000	Statewide Total	03	Construction	1976	189314	2680589594	272.30	14160	
000	Statewide Total	03	Construction	1977	189554	2788857836	282.94	14713	
000	Statewide Total	03	Construction	1978	199952	3113825121	299.48	15573	
000	Statewide Total	03	Construction	1979	209881	3532190289	323.64	16829	
000	Statewide Total	03	Construction	1980	209417	3869430448	355.33	18477	
000	Statewide Total	03	Construction	1981	212857	4305907414	389.02	20229	
000	Statewide Total	03	Construction	1982	219875	4849280041	424.13	22055	
000	Statewide Total	03	Construction	1983	230500	5384062374	449.20	23358	
000	Statewide Total	03	Construction	1984	255402	6227801199	468.93	24384	
000	Statewide Total	03	Construction	1985	284633	7246519123	489.60	25459	
000	Statewide Total	03	Construction	1986	309059	8299673244	516.44	26855	
000	Statewide Total	03	Construction	1987	327959	9145403805	536.26	27886	
000	Statewide Total	03	Construction	1988	336772	9938635920	567.53	29511	
000	Statewide Total	03	Construction	1989	333438	10281823154	593.00	30836	
000	Statewide Total	03	Construction	1990	316554	10120596763	614.83	31971	
000	Statewide Total	03	Construction	1991	275990	9110962913	634.85	33012	
000	Statewide Total	03	Construction	1992	243675	8255457268	651.52	33879	
000	Statewide Total	03	Construction	1993	241253	8236331033	656.54	34140	
000	Statewide Total	03	Construction	1994	248385	8687466996	672.61	34976	
000	Statewide Total	03	Construction	1995	249709	8899963709	685.41	35641	
000	Statewide Total	03	Construction	1996	252593	9317485554	709.37	36887	
000	Statewide Total	03	Construction	1997	263043	9996009396	730.80	38001	
000	Statewide Total	03	Construction	1998	282475	11325273973	771.02	40093	
000	Statewide Total	03	Construction	1999	309443	12761688479	793.09	41241	
000	Statewide Total	03	Construction	2000	327198	14332275544	842.37	43803	
000	Statewide Total	04	Manufacturing	1975	1419726	17826881562	241.47	12557	
000	Statewide Total	04	Manufacturing	1977	1454022	20932097712	276.85	14396	
000	Statewide Total	04	Manufacturing	1978	1482170	22914820905	297.31	15460	
000	Statewide Total	04	Manufacturing	1979	1494414	25049328892	322.35	16762	
000	Statewide Total	04	Manufacturing	1980	1447959	26740535425	355.15	18468	
000	Statewide Total	04	Manufacturing	1981	1436973	28829919196	385.83	20063	
000	Statewide Total	04	Manufacturing	1982	1358659	29581427444	418.70	21773	
000	Statewide Total	04	Manufacturing	1983	1308110	30246328405	444.66	23122	
000	Statewide Total	04	Manufacturing	1984	1331794	32372905999	467.46	24308	
000	Statewide Total	04	Manufacturing	1985	1298820	33677551637	498.64	25929	
000	Statewide Total	04	Manufacturing	1986	1255585	34129397975	522.73	27182	
000	Statewide Total	04	Manufacturing	1987	1223141	34468811187	541.93	28181	
000	Statewide Total	04	Manufacturing	1988	1217205	36650004402	579.04	30110	
000	Statewide Total	04	Manufacturing	1989	1188453	36694354845	593.76	30876	
000	Statewide Total	04	Manufacturing	1990	1131707	37063195707	629.80	32750	
000	Statewide Total	04	Manufacturing	1991	1060987	36631505412	663.96	34526	
000	Statewide Total	04	Manufacturing	1992	1013250	37093549577	704.01	36609	
000	Statewide Total	04	Manufacturing	1993	978849	36352283299	714.19	37138	
000	Statewide Total	04	Manufacturing	1994	956256	36466829749	733.37	38135	
000	Statewide Total	04	Manufacturing	1995	939540	37184506338	761.10	39577	
000	Statewide Total	04	Manufacturing	1996	921196	38535222900	804.46	41832	
000	Statewide Total	04	Manufacturing	1997	919314	40344969619	843.96	43886	
000	Statewide Total	04	Manufacturing	1998	911750	42293457054	892.06	46387	
000	Statewide Total	04	Manufacturing	1999	890692	42655151812	920.96	47890	
000	Statewide Total	04	Manufacturing	2000	874146	44975229085	989.43	51450	
000	Statewide Total	05	Transportation & Public Utilities	1975	504475	7261201011	276.80	14394	
000	Statewide Total	05	Transportation & Public Utilities	1976	491942	7699512014	300.99	15651	
000	Statewide Total	05	Transportation & Public Utilities	1977	485162	8269197983	327.77	17044	
000	Statewide Total	05	Transportation & Public Utilities	1978	538497	9861472603	352.17	18313	
000	Statewide Total	05	Transportation & Public Utilities	1979	543577	10778770183	381.33	19829	
000	Statewide Total	05	Transportation & Public Utilities	1980	551407	11741098158	409.48	21293	
000	Statewide Total	05	Transportation & Public Utilities	1981	553499	13095207754	454.98	23659	
000	Statewide Total	05	Transportation & Public Utilities	1982	550165	14249464763	498.08	25900	
000	Statewide Total	05	Transportation & Public Utilities	1983	539322	14251858038	508.18	26425	
000	Statewide Total	05	Transportation & Public Utilities	1984	552332	15258210970	531.25	27625	
000	Statewide Total	05	Transportation & Public Utilities	1985	554802	16030864106	555.67	28895	
000	Statewide Total	05	Transportation & Public Utilities	1986	547353	16372053207	575.22	29911	
000	Statewide Total	05	Transportation & Public Utilities	1987	553281	17091604929	594.07	30891	
000	Statewide Total	05	Transportation & Public Utilities	1988	561096	17977033670	616.14	32039	
000	Statewide Total	05	Transportation & Public Utilities	1989	557096	18263975231	630.47	32784	
000	Statewide Total	05	Transportation & Public Utilities	1990	574591	19819764317	663.34	34494	
000	Statewide Total	05	Transportation & Public Utilities	1991	559743	19908164999	683.97	35567	
000	Statewide Total	05	Transportation & Public Utilities	1992	538636	20619860026	736.19	38282	
000	Statewide Total	05	Transportation & Public Utilities	1993	534962	20620414563	741.26	38546	
000	Statewide Total	05	Transportation & Public Utilities	1994	537909	21209236313	758.25	39429	
000	Statewide Total	05	Transportation & Public Utilities	1995	534735	21487832385	772.77	40184	
000	Statewide Total	05	Transportation & Public Utilities	1996	535597	22489702988	807.50	41990	
000	Statewide Total	05	Transportation & Public Utilities	1997	538584	22914184728	818.18	42545	
000	Statewide Total	05	Transportation & Public Utilities	1998	544202	24367736937	861.10	44777	
000	Statewide Total	05	Transportation & Public Utilities	1999	552324	25556212957	889.81	46270	
000	Statewide Total	05	Transportation & Public Utilities	2000	564432	27328232938	931.10	48417	
000	Statewide Total	06	Wholesale Trade	1975	431785	6260146952	278.81	14498	
000	Statewide Total	06	Wholesale Trade	1976	432731	6612576685	293.87	15281	
000	Statewide Total	06	Wholesale Trade	1977	434244	7003361539	310.15	16128	
000	Statewide Total	06	Wholesale Trade	1978	442791	7601048797	330.12	17166	
000	Statewide Total	06	Wholesale Trade	1979	450558	8343076598	356.10	18517	
000	Statewide Total	06	Wholesale Trade	1980	450578	9204324300	392.84	20428	
000	Statewide Total	06	Wholesale Trade	1981	456673	10165812022	428.09	22261	
000	Statewide Total	06	Wholesale Trade	1982	456622	10840045122	456.53	23740	
000	Statewide Total	06	Wholesale Trade	1983	453920	11268293948	477.39	24824	
000	Statewide Total	06	Wholesale Trade	1984	468958	12362661421	506.96	26362	
000	Statewide Total	06	Wholesale Trade	1985	479515	13202338429	529.48	27533	
000	Statewide Total	06	Wholesale Trade	1986	480558	13832235254	553.53	28784	
000	Statewide Total	06	Wholesale Trade	1987	484807	14744280023	584.86	30413	
000	Statewide Total	06	Wholesale Trade	1988	481990	16033241230	639.70	33265	
000	Statewide Total	06	Wholesale Trade	1989	480489	16462953103	658.90	34263	
000	Statewide Total	06	Wholesale Trade	1990	466573	16866512867	695.19	36150	
000	Statewide Total	06	Wholesale Trade	1991	435565	16274051101	718.52	37363	
000	Statewide Total	06	Wholesale Trade	1992	425326	16899647675	764.10	39733	
000	Statewide Total	06	Wholesale Trade	1993	416703	16841173911	777.22	40415	
000	Statewide Total	06	Wholesale Trade	1994	419647	17329624183	794.15	41296	
000	Statewide Total	06	Wholesale Trade	1995	426343	18134696431	817.99	42536	
000	Statewide Total	06	Wholesale Trade	1996	423976	18727381729	849.44	44171	
000	Statewide Total	06	Wholesale Trade	1997	428001	19899330830	894.11	46494	
000	Statewide Total	06	Wholesale Trade	1998	435615	21358706717	942.91	49031	
000	Statewide Total	06	Wholesale Trade	1999	444156	22527238299	975.37	50719	
000	Statewide Total	06	Wholesale Trade	2000	447728	23482062872	1008.60	52447	
000	Statewide Total	07	Retail Trade	1975	975527	6689393886	131.87	6857	
000	Statewide Total	07	Retail Trade	1976	987210	7086667344	138.05	7178	
000	Statewide Total	07	Retail Trade	1977	998180	7352885476	141.66	7366	
000	Statewide Total	07	Retail Trade	1978	1014947	7967581819	150.97	7850	
000	Statewide Total	07	Retail Trade	1979	1028278	8550744099	159.92	8316	
000	Statewide Total	07	Retail Trade	1980	1017525	9016186776	170.40	8861	
000	Statewide Total	07	Retail Trade	1981	1011118	9549888671	181.63	9445	
000	Statewide Total	07	Retail Trade	1982	1014945	10114560948	191.65	9966	
000	Statewide Total	07	Retail Trade	1983	1051800	11075588395	202.50	10530	
000	Statewide Total	07	Retail Trade	1984	1110289	12233394770	211.89	11018	
000	Statewide Total	07	Retail Trade	1985	1154074	13301812841	221.65	11526	
000	Statewide Total	07	Retail Trade	1986	1196662	14490264155	232.86	12109	
000	Statewide Total	07	Retail Trade	1987	1221526	15617506170	245.87	12785	
000	Statewide Total	07	Retail Trade	1988	1239760	16662207946	258.46	13440	
000	Statewide Total	07	Retail Trade	1989	1247202	17450157920	269.07	13991	
000	Statewide Total	07	Retail Trade	1990	1224188	17718303182	278.34	14474	
000	Statewide Total	07	Retail Trade	1991	1169501	17498811534	287.74	14963	
000	Statewide Total	07	Retail Trade	1992	1142272	17889874482	301.19	15662	
000	Statewide Total	07	Retail Trade	1993	1141610	17984948841	302.96	15754	
000	Statewide Total	07	Retail Trade	1994	1161551	18817782079	311.55	16201	
000	Statewide Total	07	Retail Trade	1995	1183926	19448000389	315.90	16427	
000	Statewide Total	07	Retail Trade	1996	1191924	20124173341	324.69	16884	
000	Statewide Total	07	Retail Trade	1997	1209037	21343682108	339.49	17653	
000	Statewide Total	07	Retail Trade	1998	1224555	22840140841	358.69	18652	
000	Statewide Total	07	Retail Trade	1999	1261996	24615229600	375.10	19505	
000	Statewide Total	07	Retail Trade	2000	1292426	26568733760	395.33	20557	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1975	576732	7112126070	237.15	12332	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1976	577163	7694849345	256.39	13332	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1977	579068	8266787410	274.54	14276	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1978	602639	9241962225	294.92	15336	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1979	621540	10309658834	318.99	16587	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1980	643959	11935479670	356.43	18535	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1981	671372	13835775349	396.31	20608	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1982	686732	15818236646	442.96	23034	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1983	702867	18239766067	499.05	25951	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1984	721113	20044711415	534.56	27797	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1985	738938	22405824754	583.11	30322	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1986	775981	26461101183	655.77	34100	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1987	811535	30280946560	717.56	37313	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1988	815546	33561387062	791.39	41152	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1989	805474	33537780723	800.72	41637	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1990	798234	35245376967	849.12	44154	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1991	776067	36230309594	897.78	46684	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1992	758613	43815014167	1110.71	57757	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1993	754811	44482086526	1133.30	58931	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1994	761014	43660937855	1103.31	57372	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1995	745840	48210310144	1243.06	64639	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1996	742088	54702391396	1417.58	73714	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1997	743483	60728746770	1570.80	81681	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1998	757509	67294631552	1708.40	88837	
000	Statewide Total	08	Finance,  Insurance & Real Estate	1999	764838	71612590838	1800.60	93631	
000	Statewide Total	08	Finance,  Insurance & Real Estate	2000	767093	85071613237	2132.72	110901	
000	Statewide Total	09	Services	1975	1513207	15007496697	190.72	9918	
000	Statewide Total	09	Services	1976	1528502	15950348659	200.68	10435	
000	Statewide Total	09	Services	1977	1567008	17149099722	210.46	10944	
000	Statewide Total	09	Services	1978	2081687	24692538411	228.11	11862	
000	Statewide Total	09	Services	1979	2191208	27511195570	241.45	12555	
000	Statewide Total	09	Services	1980	2248945	30975050586	264.87	13773	
000	Statewide Total	09	Services	1981	2323579	34850214381	288.43	14999	
000	Statewide Total	09	Services	1982	2350910	37994238595	310.80	16162	
000	Statewide Total	09	Services	1983	2404110	41534369510	332.24	17276	
000	Statewide Total	09	Services	1984	2500156	45764221838	352.01	18305	
000	Statewide Total	09	Services	1985	2597816	50118089312	371.01	19292	
000	Statewide Total	09	Services	1986	2688302	54947907872	393.07	20440	
000	Statewide Total	09	Services	1987	2765277	60736421006	422.38	21964	
000	Statewide Total	09	Services	1988	2844396	66770346106	451.43	23474	
000	Statewide Total	09	Services	1989	2931624	72777841327	477.41	24825	
000	Statewide Total	09	Services	1990	2990031	79475172191	511.15	26580	
000	Statewide Total	09	Services	1991	2915860	79993950010	527.58	27434	
000	Statewide Total	09	Services	1992	2924669	84189714279	553.58	28786	
000	Statewide Total	09	Services	1993	2986916	87758792255	565.02	29381	
000	Statewide Total	09	Services	1994	3044838	91900040447	580.43	30182	
000	Statewide Total	09	Services	1995	3093854	97285779480	604.71	31445	
000	Statewide Total	09	Services	1996	3150213	102409645887	625.17	32509	
000	Statewide Total	09	Services	1997	3227743	108880635652	648.71	33733	
000	Statewide Total	09	Services	1998	3361869	118329981911	676.88	35198	
000	Statewide Total	09	Services	1999	3491490	127643060928	703.04	36558	
000	Statewide Total	09	Services	2000	3603076	138812061052	740.88	38526	
000	Statewide Total	10	Public Administration	1975	164498	2151653286	251.54	13080	
000	Statewide Total	10	Public Administration	1976	161633	2214710449	263.50	13702	
000	Statewide Total	10	Public Administration	1977	171572	2481138942	278.10	14461	
000	Statewide Total	10	Public Administration	1978	534194	7169675592	258.11	13421	
000	Statewide Total	10	Public Administration	1979	497882	6911919903	266.97	13883	
000	Statewide Total	10	Public Administration	1980	482407	7299928017	291.01	15132	
000	Statewide Total	10	Public Administration	1981	464351	7696170903	318.73	16574	
000	Statewide Total	10	Public Administration	1982	461982	8312450515	346.02	17993	
000	Statewide Total	10	Public Administration	1983	459051	8907968891	373.18	19405	
000	Statewide Total	10	Public Administration	1984	464393	9660570290	400.05	20803	
000	Statewide Total	10	Public Administration	1985	477443	10460552392	421.34	21910	
000	Statewide Total	10	Public Administration	1986	486421	11423952438	451.65	23486	
000	Statewide Total	10	Public Administration	1987	497692	12598950073	486.82	25315	
000	Statewide Total	10	Public Administration	1988	511063	13835914863	520.63	27073	
000	Statewide Total	10	Public Administration	1989	519403	15161364725	561.35	29190	
000	Statewide Total	10	Public Administration	1990	534121	16206276809	583.50	30342	
000	Statewide Total	10	Public Administration	1991	519973	16418949385	607.24	31577	
000	Statewide Total	10	Public Administration	1992	513308	16906761113	633.40	32937	
000	Statewide Total	10	Public Administration	1993	510720	17551161926	660.88	34366	
000	Statewide Total	10	Public Administration	1994	507918	18030275346	682.66	35498	
000	Statewide Total	10	Public Administration	1995	496180	18172026782	704.30	36624	
000	Statewide Total	10	Public Administration	1996	500932	18876324025	724.66	37682	
000	Statewide Total	10	Public Administration	1997	497792	19385967894	748.92	38944	
000	Statewide Total	10	Public Administration	1998	500291	19785255390	760.53	39547	
000	Statewide Total	10	Public Administration	1999	508112	20631740240	780.86	40605	
000	Statewide Total	10	Public Administration	2000	517914	21627942329	803.07	41760	
001	Albany	00	All Industries	1975	141877	1500214085	203.35	10574	
001	Albany	00	All Industries	1976	142101	1576147494	213.30	11092	
001	Albany	00	All Industries	1977	146686	1698259803	222.64	11577	
001	Albany	00	All Industries	1978	170149	2041966931	230.79	12001	
001	Albany	00	All Industries	1979	175854	2265660653	247.77	12884	
001	Albany	00	All Industries	1980	176958	2470391997	268.47	13960	
001	Albany	00	All Industries	1981	176606	2671797158	290.93	15129	
001	Albany	00	All Industries	1982	178971	2923624802	314.15	16336	
001	Albany	00	All Industries	1983	180834	3137626029	333.67	17351	
001	Albany	00	All Industries	1984	189423	3482999668	353.60	18387	
001	Albany	00	All Industries	1985	194920	3776284434	372.57	19374	
001	Albany	00	All Industries	1986	201308	4117613156	393.35	20454	
001	Albany	00	All Industries	1987	207767	4500084893	416.53	21659	
001	Albany	00	All Industries	1988	215807	4952582152	441.33	22949	
001	Albany	00	All Industries	1989	220195	5303878396	463.22	24087	
001	Albany	00	All Industries	1990	223436	5602939146	482.24	25076	
001	Albany	00	All Industries	1991	217563	5655363327	499.89	25994	
001	Albany	00	All Industries	1992	217813	5886569538	519.73	27026	
001	Albany	00	All Industries	1993	219767	6072848698	531.41	27633	
001	Albany	00	All Industries	1994	223368	6337622244	545.64	28373	
001	Albany	00	All Industries	1995	224300	6431932449	551.45	28676	
001	Albany	00	All Industries	1996	221527	6646406078	576.97	30003	
001	Albany	00	All Industries	1997	221148	6929993659	602.62	31336	
001	Albany	00	All Industries	1998	223410	7338890830	631.72	32850	
001	Albany	00	All Industries	1999	228597	7714157380	648.95	33746	
001	Albany	00	All Industries	2000	230962	8267212779	688.36	35795	
001	Albany	01	Agriculture, Mining & Unclassified	1975	441	4223641	184.11	9574	
001	Albany	01	Agriculture, Mining & Unclassified	1976	446	4282346	184.54	9596	
001	Albany	01	Agriculture, Mining & Unclassified	1977	477	4519373	182.33	9481	
001	Albany	01	Agriculture, Mining & Unclassified	1978	779	7217468	178.10	9261	
001	Albany	01	Agriculture, Mining & Unclassified	1979	839	8674876	198.88	10342	
001	Albany	01	Agriculture, Mining & Unclassified	1980	802	9192272	220.44	11463	
001	Albany	01	Agriculture, Mining & Unclassified	1981	834	9707194	223.94	11645	
001	Albany	01	Agriculture, Mining & Unclassified	1982	715	9044273	243.40	12657	
001	Albany	01	Agriculture, Mining & Unclassified	1983	777	9950121	246.40	12813	
001	Albany	01	Agriculture, Mining & Unclassified	1984	799	11988670	288.61	15008	
001	Albany	01	Agriculture, Mining & Unclassified	1985	816	12106882	285.41	14841	
001	Albany	01	Agriculture, Mining & Unclassified	1986	825	13402489	312.44	16247	
001	Albany	01	Agriculture, Mining & Unclassified	1987	974	16515830	326.03	16954	
001	Albany	01	Agriculture, Mining & Unclassified	1988	1013	17475990	331.68	17247	
001	Albany	01	Agriculture, Mining & Unclassified	1989	1080	19560572	348.44	18119	
001	Albany	01	Agriculture, Mining & Unclassified	1990	955	18271773	367.94	19133	
001	Albany	01	Agriculture, Mining & Unclassified	1991	980	19718529	386.84	20116	
001	Albany	01	Agriculture, Mining & Unclassified	1992	947	18659491	378.92	19704	
001	Albany	01	Agriculture, Mining & Unclassified	1993	1007	19527225	372.88	19390	
001	Albany	01	Agriculture, Mining & Unclassified	1994	915	18969975	398.70	20732	
001	Albany	01	Agriculture, Mining & Unclassified	1995	995	21648596	418.45	21759	
001	Albany	01	Agriculture, Mining & Unclassified	1996	1059	23848427	433.14	22523	
001	Albany	01	Agriculture, Mining & Unclassified	1997	1120	23892186	410.42	21342	
001	Albany	01	Agriculture, Mining & Unclassified	1998	1116	26639286	458.94	23865	
001	Albany	01	Agriculture, Mining & Unclassified	1999	1126	27535879	470.39	24460	
001	Albany	01	Agriculture, Mining & Unclassified	2000	1160	29714241	492.79	25625	
001	Albany	03	Construction	1975	6646	98771633	285.79	14861	
001	Albany	03	Construction	1976	6036	91215324	290.64	15113	
001	Albany	03	Construction	1977	5451	84029179	296.46	15416	
001	Albany	03	Construction	1978	5532	88027603	305.99	15912	
001	Albany	03	Construction	1979	5576	92769138	319.92	16636	
001	Albany	03	Construction	1980	5505	100613115	351.47	18277	
001	Albany	03	Construction	1981	5261	101496960	370.99	19292	
001	Albany	03	Construction	1982	5047	102610472	390.99	20331	
001	Albany	03	Construction	1983	5302	113273226	410.84	21364	
001	Albany	03	Construction	1984	6454	145202489	432.67	22499	
001	Albany	03	Construction	1985	6766	154841415	440.09	22885	
001	Albany	03	Construction	1986	7090	164311242	445.67	23175	
001	Albany	03	Construction	1987	7459	186211331	480.11	24966	
001	Albany	03	Construction	1988	8025	214613181	514.30	26743	
001	Albany	03	Construction	1989	8202	230323825	540.03	28082	
001	Albany	03	Construction	1990	7968	240887806	581.35	30230	
001	Albany	03	Construction	1991	6733	208387621	595.16	30948	
001	Albany	03	Construction	1992	6106	202940096	639.12	33234	
001	Albany	03	Construction	1993	5948	197343473	638.01	33177	
001	Albany	03	Construction	1994	6032	207081661	660.19	34330	
001	Albany	03	Construction	1995	6135	206038736	645.85	33584	
001	Albany	03	Construction	1996	5791	203951516	677.26	35218	
001	Albany	03	Construction	1997	6186	228655419	710.84	36964	
001	Albany	03	Construction	1998	6591	252279130	736.11	38278	
001	Albany	03	Construction	1999	6883	274974959	768.32	39953	
001	Albany	03	Construction	2000	7210	301043101	802.95	41754	
001	Albany	04	Manufacturing	1975	18667	231043653	238.02	12377	
001	Albany	04	Manufacturing	1976	18657	252000541	259.75	13507	
001	Albany	04	Manufacturing	1977	18444	272491487	284.11	14774	
001	Albany	04	Manufacturing	1978	19596	305358069	299.67	15583	
001	Albany	04	Manufacturing	1979	19801	332240804	322.67	16779	
001	Albany	04	Manufacturing	1980	19235	351807108	351.74	18290	
001	Albany	04	Manufacturing	1981	18867	380400326	387.73	20162	
001	Albany	04	Manufacturing	1982	17896	374291083	402.20	20914	
001	Albany	04	Manufacturing	1983	17666	394506896	429.44	22331	
001	Albany	04	Manufacturing	1984	18646	443754849	457.67	23799	
001	Albany	04	Manufacturing	1985	17894	452317734	486.10	25277	
001	Albany	04	Manufacturing	1986	17299	454703608	505.48	26285	
001	Albany	04	Manufacturing	1987	17404	466305255	515.25	26793	
001	Albany	04	Manufacturing	1988	17081	490984075	552.78	28744	
001	Albany	04	Manufacturing	1989	16266	497642736	588.36	30595	
001	Albany	04	Manufacturing	1990	15508	461523795	572.33	29761	
001	Albany	04	Manufacturing	1991	14579	460485871	607.44	31587	
001	Albany	04	Manufacturing	1992	14068	459969658	628.78	32697	
001	Albany	04	Manufacturing	1993	13217	449923484	654.63	34041	
001	Albany	04	Manufacturing	1994	12794	450378051	676.98	35203	
001	Albany	04	Manufacturing	1995	12505	468753355	720.89	37487	
001	Albany	04	Manufacturing	1996	12431	485488478	751.08	39056	
001	Albany	04	Manufacturing	1997	12486	523885572	806.90	41959	
001	Albany	04	Manufacturing	1998	12317	533664707	833.21	43327	
001	Albany	04	Manufacturing	1999	12153	537372956	850.33	44217	
001	Albany	04	Manufacturing	2000	11943	548761758	883.65	45950	
001	Albany	05	Transportation & Public Utilities	1975	10843	149504341	265.15	13788	
001	Albany	05	Transportation & Public Utilities	1976	10656	163117248	294.39	15308	
001	Albany	05	Transportation & Public Utilities	1977	10795	176382237	314.22	16340	
001	Albany	05	Transportation & Public Utilities	1978	11001	198458823	346.93	18040	
001	Albany	05	Transportation & Public Utilities	1979	11228	218124910	373.60	19427	
001	Albany	05	Transportation & Public Utilities	1980	11154	223730270	385.73	20058	
